id,title,slug,created_at,last_posted_at
23335,About the Tools in Data Science category,about-the-tools-in-data-science-category,2021-12-22 16:02:18.717000+00:00,2025-01-27 03:26:06.151000+00:00
99838,What's the actual purpose of impossible ROE exam?,whats-the-actual-purpose-of-impossible-roe-exam,2023-08-26 13:19:45.296000+00:00,2025-03-05 07:10:12.427000+00:00
141413,Is it fair to consider 20% weightage of such exam which is impossible to solve in given time (i.e. ROE),is-it-fair-to-consider-20-weightage-of-such-exam-which-is-impossible-to-solve-in-given-time-i-e-roe,2024-07-29 02:42:05.573000+00:00,2025-03-01 15:58:09.265000+00:00
161071,Which subject to choose in jan term,which-subject-to-choose-in-jan-term,2025-01-01 16:04:48.718000+00:00,2025-06-04 01:52:01.789000+00:00
161072,Can I take the end-term exam without submitting assignments if I missed it due to an emergency?,can-i-take-the-end-term-exam-without-submitting-assignments-if-i-missed-it-due-to-an-emergency,2025-01-01 16:20:54.529000+00:00,2025-01-13 16:14:37.047000+00:00
161083,GA1 - Development Tools - Discussion Thread [TDS Jan 2025],ga1-development-tools-discussion-thread-tds-jan-2025,2025-01-02 02:30:03.518000+00:00,2025-05-13 04:00:05.963000+00:00
161120,GA2 - Deployment Tools - Discussion Thread [TDS Jan 2025],ga2-deployment-tools-discussion-thread-tds-jan-2025,2025-01-03 07:12:14.287000+00:00,2025-02-06 13:21:38.546000+00:00
161214,Contribute to My Open-Source LLM Classroom Assignment Evaluator,contribute-to-my-open-source-llm-classroom-assignment-evaluator,2025-01-06 20:00:14.652000+00:00,2025-01-09 05:07:09.977000+00:00
162425,TDS calendar link not found,tds-calendar-link-not-found,2025-01-12 09:33:00.012000+00:00,2025-01-12 12:58:00.008000+00:00
163144,Way of conduction of exam,way-of-conduction-of-exam,2025-01-13 15:35:53.154000+00:00,2025-01-13 15:48:49.846000+00:00
163147,TDS iitm certified books,tds-iitm-certified-books,2025-01-13 15:40:50.091000+00:00,2025-01-14 09:48:43.870000+00:00
163158,Tds jan 2025 calender accesss and video lecture access in portal,tds-jan-2025-calender-accesss-and-video-lecture-access-in-portal,2025-01-13 16:45:09.618000+00:00,2025-01-25 13:45:37.712000+00:00
163224,Answers are not getting saved,answers-are-not-getting-saved,2025-01-14 09:28:37.719000+00:00,2025-01-14 11:33:32.930000+00:00
163241,Regarding EXTRA MATERIAL/INFORMATION/RESOURCES for the upcoming project,regarding-extra-material-information-resources-for-the-upcoming-project,2025-01-14 11:33:23.082000+00:00,2025-01-14 13:13:00.873000+00:00
163247,GA3 - Large Language Models - Discussion Thread [TDS Jan 2025],ga3-large-language-models-discussion-thread-tds-jan-2025,2025-01-14 13:00:03.125000+00:00,2025-06-02 08:00:47.178000+00:00
163381,Need friends,need-friends,2025-01-15 21:17:57.491000+00:00,2025-01-16 11:54:45.763000+00:00
163765,Score keeps resetting to 0,score-keeps-resetting-to-0,2025-01-17 06:30:48.618000+00:00,2025-01-19 12:35:22.388000+00:00
164089,TA Sessions youtube links,ta-sessions-youtube-links,2025-01-17 19:02:56.951000+00:00,2025-01-17 22:26:56.576000+00:00
164147,Issues In TDS And Replacement with another course,issues-in-tds-and-replacement-with-another-course,2025-01-18 07:57:16.564000+00:00,2025-01-19 15:17:29.605000+00:00
164205,Need Clarity,need-clarity,2025-01-18 16:13:11.989000+00:00,2025-01-18 16:13:12.288000+00:00
164214,TDS Project 1 release information required,tds-project-1-release-information-required,2025-01-18 17:46:19.535000+00:00,2025-01-19 10:12:35.077000+00:00
164277,Project 1 - LLM-based Automation Agent - Discussion Thread [TDS Jan 2025],project-1-llm-based-automation-agent-discussion-thread-tds-jan-2025,2025-01-19 08:17:46.650000+00:00,2025-04-06 06:44:58.937000+00:00
164291,Regarding droping from TDS,regarding-droping-from-tds,2025-01-19 11:01:19.843000+00:00,2025-01-20 17:57:51.091000+00:00
164460,Agenda for Today's(21/01/2025) session,agenda-for-todays-21-01-2025-session,2025-01-21 06:58:25.360000+00:00,2025-01-21 06:58:25.515000+00:00
164462,TDS - Assignment week 2,tds-assignment-week-2,2025-01-21 07:37:57.900000+00:00,2025-01-21 07:37:57.965000+00:00
164737,Drop Course window for TDS,drop-course-window-for-tds,2025-01-22 15:46:41.341000+00:00,2025-01-22 15:46:41.520000+00:00
164869,Agenda for Today's Live Session [Flask Tutorial],agenda-for-todays-live-session-flask-tutorial,2025-01-23 08:19:14.359000+00:00,2025-01-24 08:43:13.776000+00:00
